t,case_id,I_T,disp_vol,KB,KG,FSC,BM,KM,GM,delta,GM_eff,classical_GM_sign,GM_safe,a,r,s,SSB_status
0,CYCLIC_FATIGUE,3.6,8.0,0.55,0.88,0.06,0.45,1.0,0.12,0.06,0.0,UNSTABLE,0.15,0.0,1.0,0.9,DENY
1,CYCLIC_FATIGUE,3.6,8.0,0.55,0.88,0.06,0.45,1.0,0.12,0.06,0.0,UNSTABLE,0.15,0.0,1.0,1.8,DENY
2,CYCLIC_FATIGUE,3.6,8.0,0.55,0.88,0.06,0.45,1.0,0.12,0.06,0.0,UNSTABLE,0.15,0.0,1.0,2.7,DENY
3,CYCLIC_FATIGUE,3.6,8.0,0.55,0.88,0.06,0.45,1.0,0.12,0.06,0.0,UNSTABLE,0.15,0.0,1.0,3.6,DENY
4,CYCLIC_FATIGUE,3.6,8.0,0.55,0.88,0.06,0.45,1.0,0.12,0.06,0.0,UNSTABLE,0.15,0.0,1.0,4.5,DENY
5,CYCLIC_FATIGUE,3.6,8.0,0.55,0.88,0.06,0.45,1.0,0.12,0.06,0.0,UNSTABLE,0.15,0.0,1.0,5.4,DENY
6,CYCLIC_FATIGUE,3.6,8.0,0.55,0.88,0.06,0.45,1.0,0.12,0.06,0.0,UNSTABLE,0.15,0.0,1.0,6.300000000000001,DENY
7,CYCLIC_FATIGUE,3.6,8.0,0.55,0.88,0.06,0.45,1.0,0.12,0.0,0.06,STABLE,0.15,0.4,0.6,6.800000000000001,DENY
8,CYCLIC_FATIGUE,3.6,8.0,0.55,0.88,0.06,0.45,1.0,0.12,0.0,0.06,STABLE,0.15,0.4,0.6,7.300000000000001,DENY
9,CYCLIC_FATIGUE,3.6,8.0,0.55,0.88,0.06,0.45,1.0,0.12,0.0,0.06,STABLE,0.15,0.4,0.6,7.800000000000001,DENY
10,CYCLIC_FATIGUE,3.6,8.0,0.55,0.88,0.06,0.45,1.0,0.12,0.0,0.06,STABLE,0.15,0.4,0.6,8.3,DENY
11,CYCLIC_FATIGUE,3.6,8.0,0.55,0.88,0.06,0.45,1.0,0.12,0.0,0.06,STABLE,0.15,0.4,0.6,8.8,DENY
12,CYCLIC_FATIGUE,3.6,8.0,0.55,0.88,0.06,0.45,1.0,0.12,0.0,0.06,STABLE,0.15,0.4,0.6,9.3,DENY
13,CYCLIC_FATIGUE,3.6,8.0,0.55,0.88,0.06,0.45,1.0,0.12,0.0,0.06,STABLE,0.15,0.4,0.6,9.8,DENY
14,CYCLIC_FATIGUE,3.6,8.0,0.55,0.88,0.06,0.45,1.0,0.12,0.0,0.06,STABLE,0.15,0.4,0.6,10.3,DENY
15,CYCLIC_FATIGUE,3.6,8.0,0.55,0.88,0.06,0.45,1.0,0.12,0.0,0.06,STABLE,0.15,0.4,0.6,10.8,DENY
16,CYCLIC_FATIGUE,3.6,8.0,0.55,0.88,0.06,0.45,1.0,0.12,0.0,0.06,STABLE,0.15,0.4,0.6,11.3,DENY
17,CYCLIC_FATIGUE,3.6,8.0,0.55,0.88,0.06,0.45,1.0,0.12,0.0,0.06,STABLE,0.15,0.4,0.6,11.8,DENY
18,CYCLIC_FATIGUE,3.6,8.0,0.55,0.88,0.06,0.45,1.0,0.12,0.0,0.06,STABLE,0.15,0.4,0.6,12.3,DENY
19,CYCLIC_FATIGUE,3.6,8.0,0.55,0.88,0.06,0.45,1.0,0.12,0.0,0.06,STABLE,0.15,0.4,0.6,12.8,DENY
20,CYCLIC_FATIGUE,3.6,8.0,0.55,0.88,0.06,0.45,1.0,0.12,0.06,0.0,UNSTABLE,0.15,0.0,1.0,13.700000000000001,DENY
21,CYCLIC_FATIGUE,3.6,8.0,0.55,0.88,0.06,0.45,1.0,0.12,0.06,0.0,UNSTABLE,0.15,0.0,1.0,14.600000000000001,DENY
22,CYCLIC_FATIGUE,3.6,8.0,0.55,0.88,0.06,0.45,1.0,0.12,0.06,0.0,UNSTABLE,0.15,0.0,1.0,15.500000000000002,DENY
23,CYCLIC_FATIGUE,3.6,8.0,0.55,0.88,0.06,0.45,1.0,0.12,0.06,0.0,UNSTABLE,0.15,0.0,1.0,16.400000000000002,DENY
24,CYCLIC_FATIGUE,3.6,8.0,0.55,0.88,0.06,0.45,1.0,0.12,0.06,0.0,UNSTABLE,0.15,0.0,1.0,17.3,DENY
25,CYCLIC_FATIGUE,3.6,8.0,0.55,0.88,0.06,0.45,1.0,0.12,0.06,0.0,UNSTABLE,0.15,0.0,1.0,18.2,DENY
26,CYCLIC_FATIGUE,3.6,8.0,0.55,0.88,0.06,0.45,1.0,0.12,0.06,0.0,UNSTABLE,0.15,0.0,1.0,19.099999999999998,DENY
27,CYCLIC_FATIGUE,3.6,8.0,0.55,0.88,0.06,0.45,1.0,0.12,0.0,0.06,STABLE,0.15,0.4,0.6,19.599999999999998,DENY
28,CYCLIC_FATIGUE,3.6,8.0,0.55,0.88,0.06,0.45,1.0,0.12,0.0,0.06,STABLE,0.15,0.4,0.6,20.099999999999998,DENY
29,CYCLIC_FATIGUE,3.6,8.0,0.55,0.88,0.06,0.45,1.0,0.12,0.0,0.06,STABLE,0.15,0.4,0.6,20.599999999999998,DENY
30,CYCLIC_FATIGUE,3.6,8.0,0.55,0.88,0.06,0.45,1.0,0.12,0.0,0.06,STABLE,0.15,0.4,0.6,21.099999999999998,DENY
31,CYCLIC_FATIGUE,3.6,8.0,0.55,0.88,0.06,0.45,1.0,0.12,0.0,0.06,STABLE,0.15,0.4,0.6,21.599999999999998,DENY
32,CYCLIC_FATIGUE,3.6,8.0,0.55,0.88,0.06,0.45,1.0,0.12,0.0,0.06,STABLE,0.15,0.4,0.6,22.099999999999998,DENY
33,CYCLIC_FATIGUE,3.6,8.0,0.55,0.88,0.06,0.45,1.0,0.12,0.0,0.06,STABLE,0.15,0.4,0.6,22.599999999999998,DENY
34,CYCLIC_FATIGUE,3.6,8.0,0.55,0.88,0.06,0.45,1.0,0.12,0.0,0.06,STABLE,0.15,0.4,0.6,23.099999999999998,DENY
35,CYCLIC_FATIGUE,3.6,8.0,0.55,0.88,0.06,0.45,1.0,0.12,0.0,0.06,STABLE,0.15,0.4,0.6,23.599999999999998,DENY
36,CYCLIC_FATIGUE,3.6,8.0,0.55,0.88,0.06,0.45,1.0,0.12,0.0,0.06,STABLE,0.15,0.4,0.6,24.099999999999998,DENY
37,CYCLIC_FATIGUE,3.6,8.0,0.55,0.88,0.06,0.45,1.0,0.12,0.0,0.06,STABLE,0.15,0.4,0.6,24.599999999999998,DENY
38,CYCLIC_FATIGUE,3.6,8.0,0.55,0.88,0.06,0.45,1.0,0.12,0.0,0.06,STABLE,0.15,0.4,0.6,25.099999999999998,DENY
39,CYCLIC_FATIGUE,3.6,8.0,0.55,0.88,0.06,0.45,1.0,0.12,0.0,0.06,STABLE,0.15,0.4,0.6,25.599999999999998,DENY
40,CYCLIC_FATIGUE,3.6,8.0,0.55,0.88,0.06,0.45,1.0,0.12,0.06,0.0,UNSTABLE,0.15,0.0,1.0,26.499999999999996,DENY
41,CYCLIC_FATIGUE,3.6,8.0,0.55,0.88,0.06,0.45,1.0,0.12,0.06,0.0,UNSTABLE,0.15,0.0,1.0,27.399999999999995,DENY
42,CYCLIC_FATIGUE,3.6,8.0,0.55,0.88,0.06,0.45,1.0,0.12,0.06,0.0,UNSTABLE,0.15,0.0,1.0,28.299999999999994,DENY
43,CYCLIC_FATIGUE,3.6,8.0,0.55,0.88,0.06,0.45,1.0,0.12,0.06,0.0,UNSTABLE,0.15,0.0,1.0,29.199999999999992,DENY
