t,case_id,I_T,disp_vol,KB,KG,FSC,BM,KM,GM,delta,GM_eff,classical_GM_sign,GM_safe,a,r,s,SSB_status
0,CYCLIC_FATIGUE,3.6,8.0,0.55,0.8,0.03,0.45,1.0,0.19999999999999996,0.05,0.11999999999999995,STABLE,0.15,0.7999999999999997,0.2000000000000003,0.10000000000000028,ALLOW
1,CYCLIC_FATIGUE,3.6,8.0,0.55,0.8,0.03,0.45,1.0,0.19999999999999996,0.05,0.11999999999999995,STABLE,0.15,0.7999999999999997,0.2000000000000003,0.20000000000000057,ALLOW
2,CYCLIC_FATIGUE,3.6,8.0,0.55,0.8,0.03,0.45,1.0,0.19999999999999996,0.05,0.11999999999999995,STABLE,0.15,0.7999999999999997,0.2000000000000003,0.3000000000000008,ALLOW
3,CYCLIC_FATIGUE,3.6,8.0,0.55,0.8,0.03,0.45,1.0,0.19999999999999996,0.05,0.11999999999999995,STABLE,0.15,0.7999999999999997,0.2000000000000003,0.40000000000000113,ALLOW
4,CYCLIC_FATIGUE,3.6,8.0,0.55,0.8,0.03,0.45,1.0,0.19999999999999996,0.05,0.11999999999999995,STABLE,0.15,0.7999999999999997,0.2000000000000003,0.5000000000000014,ALLOW
5,CYCLIC_FATIGUE,3.6,8.0,0.55,0.8,0.03,0.45,1.0,0.19999999999999996,0.05,0.11999999999999995,STABLE,0.15,0.7999999999999997,0.2000000000000003,0.6000000000000018,ALLOW
6,CYCLIC_FATIGUE,3.6,8.0,0.55,0.8,0.03,0.45,1.0,0.19999999999999996,0.05,0.11999999999999995,STABLE,0.15,0.7999999999999997,0.2000000000000003,0.7000000000000021,ALLOW
7,CYCLIC_FATIGUE,3.6,8.0,0.55,0.8,0.03,0.45,1.0,0.19999999999999996,0.0,0.16999999999999996,STABLE,0.15,1.0,0.0,0.7000000000000021,ALLOW
8,CYCLIC_FATIGUE,3.6,8.0,0.55,0.8,0.03,0.45,1.0,0.19999999999999996,0.0,0.16999999999999996,STABLE,0.15,1.0,0.0,0.7000000000000021,ALLOW
9,CYCLIC_FATIGUE,3.6,8.0,0.55,0.8,0.03,0.45,1.0,0.19999999999999996,0.0,0.16999999999999996,STABLE,0.15,1.0,0.0,0.7000000000000021,ALLOW
10,CYCLIC_FATIGUE,3.6,8.0,0.55,0.8,0.03,0.45,1.0,0.19999999999999996,0.0,0.16999999999999996,STABLE,0.15,1.0,0.0,0.7000000000000021,ALLOW
11,CYCLIC_FATIGUE,3.6,8.0,0.55,0.8,0.03,0.45,1.0,0.19999999999999996,0.0,0.16999999999999996,STABLE,0.15,1.0,0.0,0.7000000000000021,ALLOW
12,CYCLIC_FATIGUE,3.6,8.0,0.55,0.8,0.03,0.45,1.0,0.19999999999999996,0.0,0.16999999999999996,STABLE,0.15,1.0,0.0,0.7000000000000021,ALLOW
13,CYCLIC_FATIGUE,3.6,8.0,0.55,0.8,0.03,0.45,1.0,0.19999999999999996,0.0,0.16999999999999996,STABLE,0.15,1.0,0.0,0.7000000000000021,ALLOW
14,CYCLIC_FATIGUE,3.6,8.0,0.55,0.8,0.03,0.45,1.0,0.19999999999999996,0.0,0.16999999999999996,STABLE,0.15,1.0,0.0,0.7000000000000021,ALLOW
15,CYCLIC_FATIGUE,3.6,8.0,0.55,0.8,0.03,0.45,1.0,0.19999999999999996,0.0,0.16999999999999996,STABLE,0.15,1.0,0.0,0.7000000000000021,ALLOW
16,CYCLIC_FATIGUE,3.6,8.0,0.55,0.8,0.03,0.45,1.0,0.19999999999999996,0.0,0.16999999999999996,STABLE,0.15,1.0,0.0,0.7000000000000021,ALLOW
17,CYCLIC_FATIGUE,3.6,8.0,0.55,0.8,0.03,0.45,1.0,0.19999999999999996,0.0,0.16999999999999996,STABLE,0.15,1.0,0.0,0.7000000000000021,ALLOW
18,CYCLIC_FATIGUE,3.6,8.0,0.55,0.8,0.03,0.45,1.0,0.19999999999999996,0.0,0.16999999999999996,STABLE,0.15,1.0,0.0,0.7000000000000021,ALLOW
19,CYCLIC_FATIGUE,3.6,8.0,0.55,0.8,0.03,0.45,1.0,0.19999999999999996,0.0,0.16999999999999996,STABLE,0.15,1.0,0.0,0.7000000000000021,ALLOW
20,CYCLIC_FATIGUE,3.6,8.0,0.55,0.8,0.03,0.45,1.0,0.19999999999999996,0.05,0.11999999999999995,STABLE,0.15,0.7999999999999997,0.2000000000000003,0.8000000000000024,ALLOW
21,CYCLIC_FATIGUE,3.6,8.0,0.55,0.8,0.03,0.45,1.0,0.19999999999999996,0.05,0.11999999999999995,STABLE,0.15,0.7999999999999997,0.2000000000000003,0.9000000000000027,ALLOW
