j,case_id,I_T,disp_vol,KB,KG,FSC,BM,KM,GM,GM_eff,classical_GM_sign,GM_safe,a,r,s,SSB_status
0,DISP_SWEEP,3.6,5.0,0.55,0.9,0.0,0.72,1.27,0.37,0.37,STABLE,0.15,1.0,0.0,0.0,ALLOW
1,DISP_SWEEP,3.6,5.25,0.55,0.9,0.0,0.6857142857142857,1.2357142857142858,0.33571428571428574,0.33571428571428574,STABLE,0.15,1.0,0.0,0.0,ALLOW
2,DISP_SWEEP,3.6,5.5,0.55,0.9,0.0,0.6545454545454545,1.2045454545454546,0.30454545454545456,0.30454545454545456,STABLE,0.15,1.0,0.0,0.0,ALLOW
3,DISP_SWEEP,3.6,5.75,0.55,0.9,0.0,0.6260869565217392,1.1760869565217393,0.2760869565217393,0.2760869565217393,STABLE,0.15,1.0,0.0,0.0,ALLOW
4,DISP_SWEEP,3.6,6.0,0.55,0.9,0.0,0.6,1.15,0.2499999999999999,0.2499999999999999,STABLE,0.15,1.0,0.0,0.0,ALLOW
5,DISP_SWEEP,3.6,6.25,0.55,0.9,0.0,0.5760000000000001,1.1260000000000001,0.2260000000000001,0.2260000000000001,STABLE,0.15,1.0,0.0,0.0,ALLOW
6,DISP_SWEEP,3.6,6.5,0.55,0.9,0.0,0.5538461538461539,1.103846153846154,0.2038461538461539,0.2038461538461539,STABLE,0.15,1.0,0.0,0.0,ALLOW
7,DISP_SWEEP,3.6,6.75,0.55,0.9,0.0,0.5333333333333333,1.0833333333333335,0.18333333333333346,0.18333333333333346,STABLE,0.15,1.0,0.0,0.0,ALLOW
8,DISP_SWEEP,3.6,7.0,0.55,0.9,0.0,0.5142857142857143,1.0642857142857145,0.16428571428571448,0.16428571428571448,STABLE,0.15,1.0,0.0,0.0,ALLOW
9,DISP_SWEEP,3.6,7.25,0.55,0.9,0.0,0.496551724137931,1.046551724137931,0.14655172413793094,0.14655172413793094,STABLE,0.15,0.9770114942528729,0.022988505747127075,0.0,ALLOW
10,DISP_SWEEP,3.6,7.5,0.55,0.9,0.0,0.48000000000000004,1.03,0.13,0.13,STABLE,0.15,0.8666666666666667,0.1333333333333333,0.0333333333333333,ALLOW
11,DISP_SWEEP,3.6,7.75,0.55,0.9,0.0,0.4645161290322581,1.0145161290322582,0.11451612903225816,0.11451612903225816,STABLE,0.15,0.7634408602150544,0.23655913978494558,0.16989247311827887,ALLOW
