j,case_id,I_T,disp_vol,KB,KG,FSC,BM,KM,GM,GM_eff,classical_GM_sign,GM_safe,a,r,s,SSB_status
0,DISP_SWEEP,3.6,5.0,0.55,0.95,0.05,0.72,1.27,0.32000000000000006,0.2700000000000001,STABLE,0.15,1.0,0.0,0.0,ALLOW
1,DISP_SWEEP,3.6,5.25,0.55,0.95,0.05,0.6857142857142857,1.2357142857142858,0.2857142857142858,0.23571428571428582,STABLE,0.15,1.0,0.0,0.0,ALLOW
2,DISP_SWEEP,3.6,5.5,0.55,0.95,0.05,0.6545454545454545,1.2045454545454546,0.25454545454545463,0.20454545454545464,STABLE,0.15,1.0,0.0,0.0,ALLOW
3,DISP_SWEEP,3.6,5.75,0.55,0.95,0.05,0.6260869565217392,1.1760869565217393,0.22608695652173938,0.1760869565217394,STABLE,0.15,1.0,0.0,0.0,ALLOW
4,DISP_SWEEP,3.6,6.0,0.55,0.95,0.05,0.6,1.15,0.19999999999999996,0.14999999999999997,STABLE,0.15,0.9999999999999998,2.220446049250313e-16,0.0,ALLOW
5,DISP_SWEEP,3.6,6.25,0.55,0.95,0.05,0.5760000000000001,1.1260000000000001,0.17600000000000016,0.12600000000000017,STABLE,0.15,0.8400000000000012,0.1599999999999988,0.059999999999998804,ALLOW
6,DISP_SWEEP,3.6,6.5,0.55,0.95,0.05,0.5538461538461539,1.103846153846154,0.15384615384615397,0.10384615384615396,STABLE,0.15,0.6923076923076931,0.30769230769230693,0.26769230769230573,DENY
7,DISP_SWEEP,3.6,6.75,0.55,0.95,0.05,0.5333333333333333,1.0833333333333335,0.13333333333333353,0.08333333333333352,STABLE,0.15,0.5555555555555568,0.4444444444444432,0.6121367521367489,DENY
8,DISP_SWEEP,3.6,7.0,0.55,0.95,0.05,0.5142857142857143,1.0642857142857145,0.11428571428571455,0.06428571428571454,STABLE,0.15,0.4285714285714303,0.5714285714285696,1.0835653235653186,DENY
9,DISP_SWEEP,3.6,7.25,0.55,0.95,0.05,0.496551724137931,1.046551724137931,0.096551724137931,0.046551724137931,STABLE,0.15,0.3103448275862067,0.6896551724137934,1.6732204959791122,DENY
10,DISP_SWEEP,3.6,7.5,0.55,0.95,0.05,0.48000000000000004,1.03,0.08000000000000007,0.03000000000000007,STABLE,0.15,0.20000000000000046,0.7999999999999996,2.373220495979112,DENY
11,DISP_SWEEP,3.6,7.75,0.55,0.95,0.05,0.4645161290322581,1.0145161290322582,0.06451612903225823,0.014516129032258226,STABLE,0.15,0.09677419354838818,0.9032258064516119,3.176446302430724,DENY
12,DISP_SWEEP,3.6,8.0,0.55,0.95,0.05,0.45,1.0,0.050000000000000044,4.163336342344337e-17,STABLE,0.15,2.7755575615628914e-16,0.9999999999999998,4.076446302430724,DENY
